sonata,rotation,midi_file,motif,occurrences,time_s,memory_mb
1,0,Sonate01_Opus2_1.mid,"[0, 5, 8, 0, 5]",287,0.036557674407958984,1.296875
1,1,Sonate01_Opus2_1.mid,"[1, 6, 9, 1, 6]",2,0.03546619415283203,-0.5
1,2,Sonate01_Opus2_1.mid,"[2, 7, 10, 2, 7]",88,0.0358881950378418,0.71875
1,3,Sonate01_Opus2_1.mid,"[3, 8, 11, 3, 8]",90,0.03569817543029785,0.015625
1,4,Sonate01_Opus2_1.mid,"[4, 9, 0, 4, 9]",45,0.03576302528381348,0.109375
1,5,Sonate01_Opus2_1.mid,"[5, 10, 1, 5, 10]",112,0.03565192222595215,0.171875
1,6,Sonate01_Opus2_1.mid,"[6, 11, 2, 6, 11]",10,0.03518104553222656,-0.671875
1,7,Sonate01_Opus2_1.mid,"[7, 0, 3, 7, 0]",241,0.03638505935668945,0.421875
1,8,Sonate01_Opus2_1.mid,"[8, 1, 4, 8, 1]",33,0.03555893898010254,0.234375
1,9,Sonate01_Opus2_1.mid,"[9, 2, 5, 9, 2]",28,0.035368919372558594,-0.15625
1,10,Sonate01_Opus2_1.mid,"[10, 3, 6, 10, 3]",35,0.035665035247802734,0.390625
1,11,Sonate01_Opus2_1.mid,"[11, 4, 7, 11, 4]",26,0.035555124282836914,-0.140625
2,0,Sonate02_Opus2_2.mid,"[9, 4, 4, 2, 1, 11, 9]",100,0.04478001594543457,0.1875
2,1,Sonate02_Opus2_2.mid,"[10, 5, 5, 3, 2, 0, 10]",1,0.03976082801818848,0.0625
2,2,Sonate02_Opus2_2.mid,"[11, 6, 6, 4, 3, 1, 11]",32,0.040528297424316406,0.0
2,3,Sonate02_Opus2_2.mid,"[0, 7, 7, 5, 4, 2, 0]",31,0.0403592586517334,0.0625
2,4,Sonate02_Opus2_2.mid,"[1, 8, 8, 6, 5, 3, 1]",0,0.04050397872924805,0.015625
2,5,Sonate02_Opus2_2.mid,"[2, 9, 9, 7, 6, 4, 2]",33,0.04136013984680176,0.0
2,6,Sonate02_Opus2_2.mid,"[3, 10, 10, 8, 7, 5, 3]",2,0.03982400894165039,0.0
2,7,Sonate02_Opus2_2.mid,"[4, 11, 11, 9, 8, 6, 4]",80,0.04172992706298828,0.0
2,8,Sonate02_Opus2_2.mid,"[5, 0, 0, 10, 9, 7, 5]",3,0.04015493392944336,0.0
2,9,Sonate02_Opus2_2.mid,"[6, 1, 1, 11, 10, 8, 6]",3,0.040375709533691406,0.0
2,10,Sonate02_Opus2_2.mid,"[7, 2, 2, 0, 11, 9, 7]",18,0.040685176849365234,0.0
2,11,Sonate02_Opus2_2.mid,"[8, 3, 3, 1, 0, 10, 8]",1,0.04006814956665039,0.0
3,0,Sonate03_Opus2_3.mid,"[0, 11, 0, 11, 0, 2, 11]",116,0.05116581916809082,0.046875
3,1,Sonate03_Opus2_3.mid,"[1, 0, 1, 0, 1, 3, 0]",2,0.04970502853393555,0.015625
3,2,Sonate03_Opus2_3.mid,"[2, 1, 2, 1, 2, 4, 1]",37,0.05053591728210449,0.0
3,3,Sonate03_Opus2_3.mid,"[3, 2, 3, 2, 3, 5, 2]",7,0.0497889518737793,0.0
3,4,Sonate03_Opus2_3.mid,"[4, 3, 4, 3, 4, 6, 3]",17,0.050411224365234375,0.0
3,5,Sonate03_Opus2_3.mid,"[5, 4, 5, 4, 5, 7, 4]",63,0.050473928451538086,0.0
3,6,Sonate03_Opus2_3.mid,"[6, 5, 6, 5, 6, 8, 5]",2,0.04947209358215332,0.0
3,7,Sonate03_Opus2_3.mid,"[7, 6, 7, 6, 7, 9, 6]",59,0.05121302604675293,0.046875
3,8,Sonate03_Opus2_3.mid,"[8, 7, 8, 7, 8, 10, 7]",1,0.050247907638549805,0.0625
3,9,Sonate03_Opus2_3.mid,"[9, 8, 9, 8, 9, 11, 8]",16,0.05077505111694336,0.0
3,10,Sonate03_Opus2_3.mid,"[10, 9, 10, 9, 10, 0, 9]",11,0.05059027671813965,0.015625
3,11,Sonate03_Opus2_3.mid,"[11, 10, 11, 10, 11, 1, 10]",2,0.05081915855407715,0.0
4,0,Sonate04_Opus7.mid,"[3, 2, 5, 3, 2, 5, 3, 2, 5, 3, 2, 0]",9,0.05447125434875488,0.078125
4,1,Sonate04_Opus7.mid,"[4, 3, 6, 4, 3, 6, 4, 3, 6, 4, 3, 1]",0,0.05304980278015137,0.0
4,2,Sonate04_Opus7.mid,"[5, 4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 2]",2,0.05335402488708496,0.0
4,3,Sonate04_Opus7.mid,"[6, 5, 8, 6, 5, 8, 6, 5, 8, 6, 5, 3]",0,0.05307316780090332,0.0
4,4,Sonate04_Opus7.mid,"[7, 6, 9, 7, 6, 9, 7, 6, 9, 7, 6, 4]",0,0.05300712585449219,0.0
4,5,Sonate04_Opus7.mid,"[8, 7, 10, 8, 7, 10, 8, 7, 10, 8, 7, 5]",3,0.05379295349121094,0.0
4,6,Sonate04_Opus7.mid,"[9, 8, 11, 9, 8, 11, 9, 8, 11, 9, 8, 6]",0,0.05264616012573242,0.0
4,7,Sonate04_Opus7.mid,"[10, 9, 0, 10, 9, 0, 10, 9, 0, 10, 9, 7]",5,0.053997039794921875,0.0
4,8,Sonate04_Opus7.mid,"[11, 10, 1, 11, 10, 1, 11, 10, 1, 11, 10, 8]",0,0.0532379150390625,0.015625
4,9,Sonate04_Opus7.mid,"[0, 11, 2, 0, 11, 2, 0, 11, 2, 0, 11, 9]",0,0.05342602729797363,0.0
4,10,Sonate04_Opus7.mid,"[1, 0, 3, 1, 0, 3, 1, 0, 3, 1, 0, 10]",0,0.05274391174316406,0.0
4,11,Sonate04_Opus7.mid,"[2, 1, 4, 2, 1, 4, 2, 1, 4, 2, 1, 11]",0,0.05287599563598633,0.0
5,0,Sonate05_Opus10_1.mid,"[0, 7, 3, 0, 7, 3, 0, 7, 7]",9,0.02863907814025879,0.03125
5,1,Sonate05_Opus10_1.mid,"[1, 8, 4, 1, 8, 4, 1, 8, 8]",0,0.027201175689697266,0.0
5,2,Sonate05_Opus10_1.mid,"[2, 9, 5, 2, 9, 5, 2, 9, 9]",0,0.027118682861328125,0.0
5,3,Sonate05_Opus10_1.mid,"[3, 10, 6, 3, 10, 6, 3, 10, 10]",0,0.02790689468383789,0.0
5,4,Sonate05_Opus10_1.mid,"[4, 11, 7, 4, 11, 7, 4, 11, 11]",0,0.02733302116394043,0.0
5,5,Sonate05_Opus10_1.mid,"[5, 0, 8, 5, 0, 8, 5, 0, 0]",0,0.028014183044433594,0.0
5,6,Sonate05_Opus10_1.mid,"[6, 1, 9, 6, 1, 9, 6, 1, 1]",0,0.027178049087524414,0.0
