sonata,rotation,midi_file,motif,occurrences,time_s,memory_mb
1,0,Sonate01_Opus2_1.mid,"[0, 5, 8, 0, 5]",34,0.03011298179626465,1.203125
1,1,Sonate01_Opus2_1.mid,"[1, 6, 9, 1, 6]",0,0.029966115951538086,-0.484375
1,2,Sonate01_Opus2_1.mid,"[2, 7, 10, 2, 7]",0,0.030087947845458984,0.0
1,3,Sonate01_Opus2_1.mid,"[3, 8, 11, 3, 8]",1,0.029848814010620117,0.25
1,4,Sonate01_Opus2_1.mid,"[4, 9, 0, 4, 9]",5,0.02981400489807129,0.25
1,5,Sonate01_Opus2_1.mid,"[5, 10, 1, 5, 10]",4,0.029896259307861328,-0.25
1,6,Sonate01_Opus2_1.mid,"[6, 11, 2, 6, 11]",0,0.030429840087890625,-0.25
1,7,Sonate01_Opus2_1.mid,"[7, 0, 3, 7, 0]",19,0.03174877166748047,0.609375
1,8,Sonate01_Opus2_1.mid,"[8, 1, 4, 8, 1]",8,0.03005218505859375,-0.109375
1,9,Sonate01_Opus2_1.mid,"[9, 2, 5, 9, 2]",0,0.02979278564453125,-0.5
1,10,Sonate01_Opus2_1.mid,"[10, 3, 6, 10, 3]",0,0.029955148696899414,0.0
1,11,Sonate01_Opus2_1.mid,"[11, 4, 7, 11, 4]",4,0.030244112014770508,0.25
2,0,Sonate02_Opus2_2.mid,"[9, 4, 4, 2, 1, 11, 9]",18,0.034544944763183594,0.234375
2,1,Sonate02_Opus2_2.mid,"[10, 5, 5, 3, 2, 0, 10]",0,0.03439903259277344,0.0
2,2,Sonate02_Opus2_2.mid,"[11, 6, 6, 4, 3, 1, 11]",4,0.03435111045837402,0.0
2,3,Sonate02_Opus2_2.mid,"[0, 7, 7, 5, 4, 2, 0]",7,0.03408408164978027,0.0
2,4,Sonate02_Opus2_2.mid,"[1, 8, 8, 6, 5, 3, 1]",0,0.034375905990600586,0.0
2,5,Sonate02_Opus2_2.mid,"[2, 9, 9, 7, 6, 4, 2]",6,0.034314870834350586,0.0
2,6,Sonate02_Opus2_2.mid,"[3, 10, 10, 8, 7, 5, 3]",2,0.03441905975341797,0.0
2,7,Sonate02_Opus2_2.mid,"[4, 11, 11, 9, 8, 6, 4]",3,0.0343019962310791,0.0
