sonata,rotation,midi_file,motif,occurrences,time_s,memory_mb
1,0,Sonate01_Opus2_1.mid,"[0, 5, 8, 0, 5]",34,0.03089618682861328,0.90625
1,1,Sonate01_Opus2_1.mid,"[1, 6, 9, 1, 6]",0,0.03050374984741211,-0.25
1,2,Sonate01_Opus2_1.mid,"[2, 7, 10, 2, 7]",0,0.030998706817626953,0.015625
1,3,Sonate01_Opus2_1.mid,"[3, 8, 11, 3, 8]",1,0.031033992767333984,0.0
1,4,Sonate01_Opus2_1.mid,"[4, 9, 0, 4, 9]",5,0.030936002731323242,0.28125
1,5,Sonate01_Opus2_1.mid,"[5, 10, 1, 5, 10]",4,0.03180193901062012,-0.234375
1,6,Sonate01_Opus2_1.mid,"[6, 11, 2, 6, 11]",0,0.030503273010253906,0.0
1,7,Sonate01_Opus2_1.mid,"[7, 0, 3, 7, 0]",19,0.030073881149291992,0.296875
1,8,Sonate01_Opus2_1.mid,"[8, 1, 4, 8, 1]",8,0.030382871627807617,0.0
1,9,Sonate01_Opus2_1.mid,"[9, 2, 5, 9, 2]",0,0.03021383285522461,-0.234375
1,10,Sonate01_Opus2_1.mid,"[10, 3, 6, 10, 3]",0,0.03070688247680664,0.015625
1,11,Sonate01_Opus2_1.mid,"[11, 4, 7, 11, 4]",4,0.03104424476623535,0.28125
2,0,Sonate02_Opus2_2.mid,"[9, 4, 4, 2, 1, 11, 9]",18,0.03489995002746582,0.25
2,1,Sonate02_Opus2_2.mid,"[10, 5, 5, 3, 2, 0, 10]",0,0.03484797477722168,0.0
2,2,Sonate02_Opus2_2.mid,"[11, 6, 6, 4, 3, 1, 11]",4,0.03481006622314453,0.09375
2,3,Sonate02_Opus2_2.mid,"[0, 7, 7, 5, 4, 2, 0]",7,0.03458285331726074,0.078125
2,4,Sonate02_Opus2_2.mid,"[1, 8, 8, 6, 5, 3, 1]",0,0.03449606895446777,0.0
2,5,Sonate02_Opus2_2.mid,"[2, 9, 9, 7, 6, 4, 2]",6,0.03467297554016113,0.0
2,6,Sonate02_Opus2_2.mid,"[3, 10, 10, 8, 7, 5, 3]",2,0.03469419479370117,0.0
2,7,Sonate02_Opus2_2.mid,"[4, 11, 11, 9, 8, 6, 4]",3,0.03483104705810547,0.0
2,8,Sonate02_Opus2_2.mid,"[5, 0, 0, 10, 9, 7, 5]",0,0.0361020565032959,0.0
2,9,Sonate02_Opus2_2.mid,"[6, 1, 1, 11, 10, 8, 6]",0,0.034451961517333984,0.0
2,10,Sonate02_Opus2_2.mid,"[7, 2, 2, 0, 11, 9, 7]",0,0.03441214561462402,0.0
2,11,Sonate02_Opus2_2.mid,"[8, 3, 3, 1, 0, 10, 8]",1,0.03445720672607422,0.0
3,0,Sonate03_Opus2_3.mid,"[0, 11, 0, 11, 0, 2, 11]",35,0.04383707046508789,0.078125
3,1,Sonate03_Opus2_3.mid,"[1, 0, 1, 0, 1, 3, 0]",0,0.043897151947021484,0.0
3,2,Sonate03_Opus2_3.mid,"[2, 1, 2, 1, 2, 4, 1]",9,0.04366302490234375,0.015625
3,3,Sonate03_Opus2_3.mid,"[3, 2, 3, 2, 3, 5, 2]",4,0.04323697090148926,0.03125
3,4,Sonate03_Opus2_3.mid,"[4, 3, 4, 3, 4, 6, 3]",2,0.04377007484436035,0.0
3,5,Sonate03_Opus2_3.mid,"[5, 4, 5, 4, 5, 7, 4]",15,0.043607234954833984,0.015625
3,6,Sonate03_Opus2_3.mid,"[6, 5, 6, 5, 6, 8, 5]",0,0.04380607604980469,0.0
3,7,Sonate03_Opus2_3.mid,"[7, 6, 7, 6, 7, 9, 6]",17,0.04401373863220215,0.0
3,8,Sonate03_Opus2_3.mid,"[8, 7, 8, 7, 8, 10, 7]",1,0.04344010353088379,0.0
3,9,Sonate03_Opus2_3.mid,"[9, 8, 9, 8, 9, 11, 8]",3,0.04323911666870117,0.0
3,10,Sonate03_Opus2_3.mid,"[10, 9, 10, 9, 10, 0, 9]",1,0.04296398162841797,0.0
3,11,Sonate03_Opus2_3.mid,"[11, 10, 11, 10, 11, 1, 10]",0,0.04326915740966797,0.0
4,0,Sonate04_Opus7.mid,"[3, 2, 5, 3, 2, 5, 3, 2, 5, 3, 2, 0]",9,0.045130014419555664,0.015625
4,1,Sonate04_Opus7.mid,"[4, 3, 6, 4, 3, 6, 4, 3, 6, 4, 3, 1]",0,0.04545712471008301,0.0
4,2,Sonate04_Opus7.mid,"[5, 4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 2]",1,0.045732736587524414,0.0
4,3,Sonate04_Opus7.mid,"[6, 5, 8, 6, 5, 8, 6, 5, 8, 6, 5, 3]",0,0.04536104202270508,0.0
4,4,Sonate04_Opus7.mid,"[7, 6, 9, 7, 6, 9, 7, 6, 9, 7, 6, 4]",0,0.04555702209472656,0.0
4,5,Sonate04_Opus7.mid,"[8, 7, 10, 8, 7, 10, 8, 7, 10, 8, 7, 5]",3,0.04844212532043457,0.0
4,6,Sonate04_Opus7.mid,"[9, 8, 11, 9, 8, 11, 9, 8, 11, 9, 8, 6]",0,0.045327186584472656,0.0
4,7,Sonate04_Opus7.mid,"[10, 9, 0, 10, 9, 0, 10, 9, 0, 10, 9, 7]",0,0.04515504837036133,0.0
4,8,Sonate04_Opus7.mid,"[11, 10, 1, 11, 10, 1, 11, 10, 1, 11, 10, 8]",0,0.04534292221069336,0.0
4,9,Sonate04_Opus7.mid,"[0, 11, 2, 0, 11, 2, 0, 11, 2, 0, 11, 9]",0,0.04490494728088379,0.03125
4,10,Sonate04_Opus7.mid,"[1, 0, 3, 1, 0, 3, 1, 0, 3, 1, 0, 10]",0,0.04458975791931152,0.0
4,11,Sonate04_Opus7.mid,"[2, 1, 4, 2, 1, 4, 2, 1, 4, 2, 1, 11]",0,0.04469895362854004,0.0
5,0,Sonate05_Opus10_1.mid,"[0, 7, 3, 0, 7, 3, 0, 7, 7]",3,0.023108959197998047,0.0
5,1,Sonate05_Opus10_1.mid,"[1, 8, 4, 1, 8, 4, 1, 8, 8]",0,0.023279190063476562,0.0
5,2,Sonate05_Opus10_1.mid,"[2, 9, 5, 2, 9, 5, 2, 9, 9]",0,0.02314901351928711,0.0
5,3,Sonate05_Opus10_1.mid,"[3, 10, 6, 3, 10, 6, 3, 10, 10]",0,0.023169755935668945,0.0
5,4,Sonate05_Opus10_1.mid,"[4, 11, 7, 4, 11, 7, 4, 11, 11]",0,0.02314591407775879,0.0
5,5,Sonate05_Opus10_1.mid,"[5, 0, 8, 5, 0, 8, 5, 0, 0]",0,0.02321004867553711,0.0
5,6,Sonate05_Opus10_1.mid,"[6, 1, 9, 6, 1, 9, 6, 1, 1]",0,0.022975921630859375,0.0
5,7,Sonate05_Opus10_1.mid,"[7, 2, 10, 7, 2, 10, 7, 2, 2]",0,0.025346994400024414,0.0
5,8,Sonate05_Opus10_1.mid,"[8, 3, 11, 8, 3, 11, 8, 3, 3]",5,0.023167848587036133,0.0
5,9,Sonate05_Opus10_1.mid,"[9, 4, 0, 9, 4, 0, 9, 4, 4]",0,0.02325296401977539,0.0
5,10,Sonate05_Opus10_1.mid,"[10, 5, 1, 10, 5, 1, 10, 5, 5]",0,0.023081064224243164,0.0
5,11,Sonate05_Opus10_1.mid,"[11, 6, 2, 11, 6, 2, 11, 6, 6]",0,0.023937702178955078,0.0
6,0,Sonate06_Opus10_2.mid,"[0, 11, 2, 0]",73,0.029989957809448242,0.0
6,1,Sonate06_Opus10_2.mid,"[1, 0, 3, 1]",36,0.03045201301574707,0.0
6,2,Sonate06_Opus10_2.mid,"[2, 1, 4, 2]",51,0.030487060546875,0.0
6,3,Sonate06_Opus10_2.mid,"[3, 2, 5, 3]",55,0.030380964279174805,0.0
6,4,Sonate06_Opus10_2.mid,"[4, 3, 6, 4]",14,0.030321836471557617,0.0
6,5,Sonate06_Opus10_2.mid,"[5, 4, 7, 5]",83,0.03062295913696289,0.0
6,6,Sonate06_Opus10_2.mid,"[6, 5, 8, 6]",29,0.030720949172973633,0.0
6,7,Sonate06_Opus10_2.mid,"[7, 6, 9, 7]",69,0.03052210807800293,0.0
6,8,Sonate06_Opus10_2.mid,"[8, 7, 10, 8]",28,0.029922962188720703,0.0
6,9,Sonate06_Opus10_2.mid,"[9, 8, 11, 9]",30,0.03066396713256836,0.0
6,10,Sonate06_Opus10_2.mid,"[10, 9, 0, 10]",91,0.030052900314331055,0.0
6,11,Sonate06_Opus10_2.mid,"[11, 10, 1, 11]",17,0.029917001724243164,0.0
7,0,Sonate07_Opus10_3.mid,"[2, 1, 11, 9, 1, 2]",23,0.034295082092285156,0.0
7,1,Sonate07_Opus10_3.mid,"[3, 2, 0, 10, 2, 3]",5,0.03401303291320801,0.0
7,2,Sonate07_Opus10_3.mid,"[4, 3, 1, 11, 3, 4]",2,0.03412604331970215,0.0
7,3,Sonate07_Opus10_3.mid,"[5, 4, 2, 0, 4, 5]",4,0.03391885757446289,0.0
7,4,Sonate07_Opus10_3.mid,"[6, 5, 3, 1, 5, 6]",0,0.033905029296875,0.0
7,5,Sonate07_Opus10_3.mid,"[7, 6, 4, 2, 6, 7]",9,0.034728050231933594,0.0
7,6,Sonate07_Opus10_3.mid,"[8, 7, 5, 3, 7, 8]",2,0.0351259708404541,0.0
7,7,Sonate07_Opus10_3.mid,"[9, 8, 6, 4, 8, 9]",12,0.03443622589111328,0.0
7,8,Sonate07_Opus10_3.mid,"[10, 9, 7, 5, 9, 10]",6,0.034394025802612305,0.015625
7,9,Sonate07_Opus10_3.mid,"[11, 10, 8, 6, 10, 11]",2,0.03428387641906738,0.0
7,10,Sonate07_Opus10_3.mid,"[0, 11, 9, 7, 11, 0]",1,0.03374791145324707,0.015625
7,11,Sonate07_Opus10_3.mid,"[1, 0, 10, 8, 0, 1]",0,0.034436941146850586,0.0
8,0,Sonate08_Opus13_Pathetique.mid,"[0, 0, 2, 3, 3, 2]",62,0.03320193290710449,0.0
8,1,Sonate08_Opus13_Pathetique.mid,"[1, 1, 3, 4, 4, 3]",23,0.031339168548583984,0.0
8,2,Sonate08_Opus13_Pathetique.mid,"[2, 2, 4, 5, 5, 4]",25,0.03169703483581543,0.0
8,3,Sonate08_Opus13_Pathetique.mid,"[3, 3, 5, 6, 6, 5]",114,0.031571149826049805,0.0
8,4,Sonate08_Opus13_Pathetique.mid,"[4, 4, 6, 7, 7, 6]",6,0.031373023986816406,0.0
8,5,Sonate08_Opus13_Pathetique.mid,"[5, 5, 7, 8, 8, 7]",78,0.03137707710266113,0.0
8,6,Sonate08_Opus13_Pathetique.mid,"[6, 6, 8, 9, 9, 8]",17,0.031182050704956055,0.0
8,7,Sonate08_Opus13_Pathetique.mid,"[7, 7, 9, 10, 10, 9]",27,0.03177690505981445,0.0
8,8,Sonate08_Opus13_Pathetique.mid,"[8, 8, 10, 11, 11, 10]",79,0.031558990478515625,0.0
8,9,Sonate08_Opus13_Pathetique.mid,"[9, 9, 11, 0, 0, 11]",17,0.031432151794433594,0.0
8,10,Sonate08_Opus13_Pathetique.mid,"[10, 10, 0, 1, 1, 0]",14,0.03130984306335449,0.0
8,11,Sonate08_Opus13_Pathetique.mid,"[11, 11, 1, 2, 2, 1]",29,0.0308992862701416,0.0
9,0,Sonate09_Opus14_1.mid,"[11, 4, 1, 6]",20,0.02210092544555664,0.0
9,1,Sonate09_Opus14_1.mid,"[0, 5, 2, 7]",3,0.021777868270874023,0.0
9,2,Sonate09_Opus14_1.mid,"[1, 6, 3, 8]",9,0.021635055541992188,0.0
9,3,Sonate09_Opus14_1.mid,"[2, 7, 4, 9]",6,0.02138805389404297,0.0
9,4,Sonate09_Opus14_1.mid,"[3, 8, 5, 10]",5,0.021368980407714844,0.0
9,5,Sonate09_Opus14_1.mid,"[4, 9, 6, 11]",38,0.02131509780883789,0.0
9,6,Sonate09_Opus14_1.mid,"[5, 10, 7, 0]",3,0.02149200439453125,0.0
9,7,Sonate09_Opus14_1.mid,"[6, 11, 8, 1]",33,0.021295785903930664,0.0
9,8,Sonate09_Opus14_1.mid,"[7, 0, 9, 2]",9,0.021170854568481445,0.0
9,9,Sonate09_Opus14_1.mid,"[8, 1, 10, 3]",7,0.021116971969604492,0.0
9,10,Sonate09_Opus14_1.mid,"[9, 2, 11, 4]",24,0.021256208419799805,0.0
9,11,Sonate09_Opus14_1.mid,"[10, 3, 0, 5]",1,0.021551847457885742,0.0
10,0,Sonate10_Opus14_2.mid,"[2, 2, 10, 11, 6, 7]",11,0.02523183822631836,0.0
10,1,Sonate10_Opus14_2.mid,"[3, 3, 11, 0, 7, 8]",4,0.02518296241760254,0.0
