sonata,rotation,midi_file,motif,occurrences,time_s,memory_mb
1,0,Sonate01_Opus2_1.mid,"[0, 5, 8, 0, 5]",287,0.03704690933227539,1.390625
1,1,Sonate01_Opus2_1.mid,"[1, 6, 9, 1, 6]",2,0.03560686111450195,-0.5
1,2,Sonate01_Opus2_1.mid,"[2, 7, 10, 2, 7]",88,0.0362401008605957,0.71875
1,3,Sonate01_Opus2_1.mid,"[3, 8, 11, 3, 8]",90,0.03609490394592285,0.015625
1,4,Sonate01_Opus2_1.mid,"[4, 9, 0, 4, 9]",45,0.03648996353149414,-0.125
1,5,Sonate01_Opus2_1.mid,"[5, 10, 1, 5, 10]",112,0.03629589080810547,0.390625
1,6,Sonate01_Opus2_1.mid,"[6, 11, 2, 6, 11]",10,0.035649776458740234,-0.390625
1,7,Sonate01_Opus2_1.mid,"[7, 0, 3, 7, 0]",241,0.03681182861328125,0.640625
1,8,Sonate01_Opus2_1.mid,"[8, 1, 4, 8, 1]",33,0.036016225814819336,-0.25
1,9,Sonate01_Opus2_1.mid,"[9, 2, 5, 9, 2]",28,0.03594636917114258,0.109375
1,10,Sonate01_Opus2_1.mid,"[10, 3, 6, 10, 3]",35,0.03580331802368164,-0.140625
1,11,Sonate01_Opus2_1.mid,"[11, 4, 7, 11, 4]",26,0.036080121994018555,0.140625
2,0,Sonate02_Opus2_2.mid,"[9, 4, 4, 2, 1, 11, 9]",100,0.04225730895996094,0.25
2,1,Sonate02_Opus2_2.mid,"[10, 5, 5, 3, 2, 0, 10]",1,0.04009389877319336,0.0
2,2,Sonate02_Opus2_2.mid,"[11, 6, 6, 4, 3, 1, 11]",32,0.04112982749938965,0.0
2,3,Sonate02_Opus2_2.mid,"[0, 7, 7, 5, 4, 2, 0]",31,0.040554046630859375,0.0
2,4,Sonate02_Opus2_2.mid,"[1, 8, 8, 6, 5, 3, 1]",0,0.04088902473449707,0.0
2,5,Sonate02_Opus2_2.mid,"[2, 9, 9, 7, 6, 4, 2]",33,0.04181408882141113,0.0
2,6,Sonate02_Opus2_2.mid,"[3, 10, 10, 8, 7, 5, 3]",2,0.04012107849121094,0.0
2,7,Sonate02_Opus2_2.mid,"[4, 11, 11, 9, 8, 6, 4]",80,0.042088985443115234,0.0
2,8,Sonate02_Opus2_2.mid,"[5, 0, 0, 10, 9, 7, 5]",3,0.04053616523742676,0.0
2,9,Sonate02_Opus2_2.mid,"[6, 1, 1, 11, 10, 8, 6]",3,0.04075193405151367,0.0
2,10,Sonate02_Opus2_2.mid,"[7, 2, 2, 0, 11, 9, 7]",18,0.041066884994506836,0.0
2,11,Sonate02_Opus2_2.mid,"[8, 3, 3, 1, 0, 10, 8]",1,0.040377140045166016,0.0
3,0,Sonate03_Opus2_3.mid,"[0, 11, 0, 11, 0, 2, 11]",116,0.051863908767700195,0.15625
3,1,Sonate03_Opus2_3.mid,"[1, 0, 1, 0, 1, 3, 0]",2,0.05042624473571777,0.0
3,2,Sonate03_Opus2_3.mid,"[2, 1, 2, 1, 2, 4, 1]",37,0.05090785026550293,0.0
3,3,Sonate03_Opus2_3.mid,"[3, 2, 3, 2, 3, 5, 2]",7,0.05026888847351074,0.0
3,4,Sonate03_Opus2_3.mid,"[4, 3, 4, 3, 4, 6, 3]",17,0.05113410949707031,0.0
3,5,Sonate03_Opus2_3.mid,"[5, 4, 5, 4, 5, 7, 4]",63,0.05124497413635254,0.0
3,6,Sonate03_Opus2_3.mid,"[6, 5, 6, 5, 6, 8, 5]",2,0.05016922950744629,0.0
3,7,Sonate03_Opus2_3.mid,"[7, 6, 7, 6, 7, 9, 6]",59,0.0516209602355957,0.0
3,8,Sonate03_Opus2_3.mid,"[8, 7, 8, 7, 8, 10, 7]",1,0.050440073013305664,0.0
3,9,Sonate03_Opus2_3.mid,"[9, 8, 9, 8, 9, 11, 8]",16,0.05070781707763672,0.0
3,10,Sonate03_Opus2_3.mid,"[10, 9, 10, 9, 10, 0, 9]",11,0.05024099349975586,0.0
3,11,Sonate03_Opus2_3.mid,"[11, 10, 11, 10, 11, 1, 10]",2,0.05045199394226074,0.0
4,0,Sonate04_Opus7.mid,"[3, 2, 5, 3, 2, 5, 3, 2, 5, 3, 2, 0]",9,0.05515575408935547,0.015625
4,1,Sonate04_Opus7.mid,"[4, 3, 6, 4, 3, 6, 4, 3, 6, 4, 3, 1]",0,0.052865028381347656,0.0
4,2,Sonate04_Opus7.mid,"[5, 4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 2]",2,0.05314898490905762,0.0
4,3,Sonate04_Opus7.mid,"[6, 5, 8, 6, 5, 8, 6, 5, 8, 6, 5, 3]",0,0.05278801918029785,0.0
4,4,Sonate04_Opus7.mid,"[7, 6, 9, 7, 6, 9, 7, 6, 9, 7, 6, 4]",0,0.05278491973876953,0.0
4,5,Sonate04_Opus7.mid,"[8, 7, 10, 8, 7, 10, 8, 7, 10, 8, 7, 5]",3,0.05336284637451172,0.0
4,6,Sonate04_Opus7.mid,"[9, 8, 11, 9, 8, 11, 9, 8, 11, 9, 8, 6]",0,0.05250811576843262,0.0
4,7,Sonate04_Opus7.mid,"[10, 9, 0, 10, 9, 0, 10, 9, 0, 10, 9, 7]",5,0.053575992584228516,0.0
4,8,Sonate04_Opus7.mid,"[11, 10, 1, 11, 10, 1, 11, 10, 1, 11, 10, 8]",0,0.0527958869934082,0.0
4,9,Sonate04_Opus7.mid,"[0, 11, 2, 0, 11, 2, 0, 11, 2, 0, 11, 9]",0,0.05298566818237305,0.0
4,10,Sonate04_Opus7.mid,"[1, 0, 3, 1, 0, 3, 1, 0, 3, 1, 0, 10]",0,0.05294203758239746,0.0
4,11,Sonate04_Opus7.mid,"[2, 1, 4, 2, 1, 4, 2, 1, 4, 2, 1, 11]",0,0.05270123481750488,0.0
5,0,Sonate05_Opus10_1.mid,"[0, 7, 3, 0, 7, 3, 0, 7, 7]",9,0.028264760971069336,0.0
5,1,Sonate05_Opus10_1.mid,"[1, 8, 4, 1, 8, 4, 1, 8, 8]",0,0.027209997177124023,0.0
5,2,Sonate05_Opus10_1.mid,"[2, 9, 5, 2, 9, 5, 2, 9, 9]",0,0.027406930923461914,0.0
5,3,Sonate05_Opus10_1.mid,"[3, 10, 6, 3, 10, 6, 3, 10, 10]",0,0.027704715728759766,0.0
5,4,Sonate05_Opus10_1.mid,"[4, 11, 7, 4, 11, 7, 4, 11, 11]",0,0.027487993240356445,0.0
5,5,Sonate05_Opus10_1.mid,"[5, 0, 8, 5, 0, 8, 5, 0, 0]",0,0.02785515785217285,0.0
5,6,Sonate05_Opus10_1.mid,"[6, 1, 9, 6, 1, 9, 6, 1, 1]",0,0.027076244354248047,0.0
5,7,Sonate05_Opus10_1.mid,"[7, 2, 10, 7, 2, 10, 7, 2, 2]",0,0.027830123901367188,0.0
5,8,Sonate05_Opus10_1.mid,"[8, 3, 11, 8, 3, 11, 8, 3, 3]",6,0.027727842330932617,0.0
5,9,Sonate05_Opus10_1.mid,"[9, 4, 0, 9, 4, 0, 9, 4, 4]",0,0.027236223220825195,0.0
5,10,Sonate05_Opus10_1.mid,"[10, 5, 1, 10, 5, 1, 10, 5, 5]",0,0.027548789978027344,0.0
5,11,Sonate05_Opus10_1.mid,"[11, 6, 2, 11, 6, 2, 11, 6, 6]",0,0.02747201919555664,0.0
6,0,Sonate06_Opus10_2.mid,"[0, 11, 2, 0]",857,0.03545713424682617,0.03125
6,1,Sonate06_Opus10_2.mid,"[1, 0, 3, 1]",318,0.03504490852355957,0.0
6,2,Sonate06_Opus10_2.mid,"[2, 1, 4, 2]",380,0.035053253173828125,0.0
6,3,Sonate06_Opus10_2.mid,"[3, 2, 5, 3]",311,0.0350651741027832,0.0
6,4,Sonate06_Opus10_2.mid,"[4, 3, 6, 4]",212,0.034793853759765625,0.0
6,5,Sonate06_Opus10_2.mid,"[5, 4, 7, 5]",894,0.0358119010925293,0.0
6,6,Sonate06_Opus10_2.mid,"[6, 5, 8, 6]",167,0.03495597839355469,0.0
6,7,Sonate06_Opus10_2.mid,"[7, 6, 9, 7]",598,0.03510093688964844,0.0
6,8,Sonate06_Opus10_2.mid,"[8, 7, 10, 8]",337,0.03497314453125,0.0
6,9,Sonate06_Opus10_2.mid,"[9, 8, 11, 9]",291,0.03496909141540527,0.0
6,10,Sonate06_Opus10_2.mid,"[10, 9, 0, 10]",670,0.03531312942504883,0.0
6,11,Sonate06_Opus10_2.mid,"[11, 10, 1, 11]",123,0.03490018844604492,0.0
7,0,Sonate07_Opus10_3.mid,"[2, 1, 11, 9, 1, 2]",157,0.03948497772216797,0.03125
7,1,Sonate07_Opus10_3.mid,"[3, 2, 0, 10, 2, 3]",18,0.038987159729003906,0.0
7,2,Sonate07_Opus10_3.mid,"[4, 3, 1, 11, 3, 4]",12,0.038825273513793945,0.0
7,3,Sonate07_Opus10_3.mid,"[5, 4, 2, 0, 4, 5]",31,0.03919529914855957,0.0
7,4,Sonate07_Opus10_3.mid,"[6, 5, 3, 1, 5, 6]",1,0.03862190246582031,0.0
7,5,Sonate07_Opus10_3.mid,"[7, 6, 4, 2, 6, 7]",97,0.03937578201293945,0.0
7,6,Sonate07_Opus10_3.mid,"[8, 7, 5, 3, 7, 8]",8,0.03886532783508301,0.0
7,7,Sonate07_Opus10_3.mid,"[9, 8, 6, 4, 8, 9]",67,0.039170026779174805,0.0
7,8,Sonate07_Opus10_3.mid,"[10, 9, 7, 5, 9, 10]",21,0.039292097091674805,0.0
7,9,Sonate07_Opus10_3.mid,"[11, 10, 8, 6, 10, 11]",4,0.03872799873352051,0.0
7,10,Sonate07_Opus10_3.mid,"[0, 11, 9, 7, 11, 0]",18,0.03905296325683594,0.0
7,11,Sonate07_Opus10_3.mid,"[1, 0, 10, 8, 0, 1]",1,0.038763999938964844,0.0
8,0,Sonate08_Opus13_Pathetique.mid,"[0, 0, 2, 3, 3, 2]",115,0.03622126579284668,0.0
8,1,Sonate08_Opus13_Pathetique.mid,"[1, 1, 3, 4, 4, 3]",24,0.035417795181274414,0.0
8,2,Sonate08_Opus13_Pathetique.mid,"[2, 2, 4, 5, 5, 4]",28,0.03549790382385254,0.0
8,3,Sonate08_Opus13_Pathetique.mid,"[3, 3, 5, 6, 6, 5]",122,0.03666281700134277,0.0
8,4,Sonate08_Opus13_Pathetique.mid,"[4, 4, 6, 7, 7, 6]",9,0.03506612777709961,0.0
8,5,Sonate08_Opus13_Pathetique.mid,"[5, 5, 7, 8, 8, 7]",119,0.036167144775390625,0.0
8,6,Sonate08_Opus13_Pathetique.mid,"[6, 6, 8, 9, 9, 8]",17,0.035446882247924805,0.0
8,7,Sonate08_Opus13_Pathetique.mid,"[7, 7, 9, 10, 10, 9]",32,0.03595280647277832,0.0
8,8,Sonate08_Opus13_Pathetique.mid,"[8, 8, 10, 11, 11, 10]",92,0.035893917083740234,0.0
8,9,Sonate08_Opus13_Pathetique.mid,"[9, 9, 11, 0, 0, 11]",24,0.03515791893005371,0.0
8,10,Sonate08_Opus13_Pathetique.mid,"[10, 10, 0, 1, 1, 0]",33,0.03603720664978027,0.0
8,11,Sonate08_Opus13_Pathetique.mid,"[11, 11, 1, 2, 2, 1]",33,0.03534102439880371,0.0
9,0,Sonate09_Opus14_1.mid,"[11, 4, 1, 6]",570,0.025534868240356445,0.0
9,1,Sonate09_Opus14_1.mid,"[0, 5, 2, 7]",126,0.024898052215576172,0.0
9,2,Sonate09_Opus14_1.mid,"[1, 6, 3, 8]",265,0.025103092193603516,0.0
9,3,Sonate09_Opus14_1.mid,"[2, 7, 4, 9]",256,0.02518296241760254,0.0
9,4,Sonate09_Opus14_1.mid,"[3, 8, 5, 10]",115,0.02496480941772461,0.0
9,5,Sonate09_Opus14_1.mid,"[4, 9, 6, 11]",621,0.0255739688873291,0.0
9,6,Sonate09_Opus14_1.mid,"[5, 10, 7, 0]",74,0.024992704391479492,0.0
9,7,Sonate09_Opus14_1.mid,"[6, 11, 8, 1]",415,0.025506019592285156,0.0
9,8,Sonate09_Opus14_1.mid,"[7, 0, 9, 2]",169,0.025081872940063477,0.0
9,9,Sonate09_Opus14_1.mid,"[8, 1, 10, 3]",202,0.024899005889892578,0.0
9,10,Sonate09_Opus14_1.mid,"[9, 2, 11, 4]",449,0.02536487579345703,0.0
9,11,Sonate09_Opus14_1.mid,"[10, 3, 0, 5]",66,0.024960041046142578,0.0
10,0,Sonate10_Opus14_2.mid,"[2, 2, 10, 11, 6, 7]",34,0.029983043670654297,0.0
10,1,Sonate10_Opus14_2.mid,"[3, 3, 11, 0, 7, 8]",4,0.029134750366210938,0.0
10,2,Sonate10_Opus14_2.mid,"[4, 4, 0, 1, 8, 9]",12,0.02975296974182129,0.0
10,3,Sonate10_Opus14_2.mid,"[5, 5, 1, 2, 9, 10]",17,0.02928614616394043,0.0
10,4,Sonate10_Opus14_2.mid,"[6, 6, 2, 3, 10, 11]",7,0.029555082321166992,0.0
10,5,Sonate10_Opus14_2.mid,"[7, 7, 3, 4, 11, 0]",65,0.02992391586303711,0.0
10,6,Sonate10_Opus14_2.mid,"[8, 8, 4, 5, 0, 1]",3,0.02905130386352539,0.0
10,7,Sonate10_Opus14_2.mid,"[9, 9, 5, 6, 1, 2]",15,0.02982807159423828,0.0
10,8,Sonate10_Opus14_2.mid,"[10, 10, 6, 7, 2, 3]",8,0.029235363006591797,0.0
10,9,Sonate10_Opus14_2.mid,"[11, 11, 7, 8, 3, 4]",4,0.02995467185974121,0.0
10,10,Sonate10_Opus14_2.mid,"[0, 0, 8, 9, 4, 5]",19,0.02977895736694336,0.0
10,11,Sonate10_Opus14_2.mid,"[1, 1, 9, 10, 5, 6]",12,0.029386043548583984,0.0
11,0,Sonate11_Opus22.mid,"[10, 9, 10, 5, 2, 10]",135,0.04908418655395508,0.0
11,1,Sonate11_Opus22.mid,"[11, 10, 11, 6, 3, 11]",9,0.04744911193847656,0.0
11,2,Sonate11_Opus22.mid,"[0, 11, 0, 7, 4, 0]",33,0.04754471778869629,0.0
11,3,Sonate11_Opus22.mid,"[1, 0, 1, 8, 5, 1]",15,0.04737997055053711,0.0
11,4,Sonate11_Opus22.mid,"[2, 1, 2, 9, 6, 2]",23,0.047924041748046875,0.0
11,5,Sonate11_Opus22.mid,"[3, 2, 3, 10, 7, 3]",103,0.04828977584838867,0.0
11,6,Sonate11_Opus22.mid,"[4, 3, 4, 11, 8, 4]",9,0.047415971755981445,0.0
11,7,Sonate11_Opus22.mid,"[5, 4, 5, 0, 9, 5]",98,0.048712730407714844,0.0
11,8,Sonate11_Opus22.mid,"[6, 5, 6, 1, 10, 6]",29,0.0476078987121582,0.0
11,9,Sonate11_Opus22.mid,"[7, 6, 7, 2, 11, 7]",16,0.04764199256896973,0.0
11,10,Sonate11_Opus22.mid,"[8, 7, 8, 3, 0, 8]",14,0.04737210273742676,0.0
11,11,Sonate11_Opus22.mid,"[9, 8, 9, 4, 1, 9]",9,0.04747915267944336,0.0
13,0,Sonate13_Opus27_1.mid,"[5, 5, 8]",2466,0.02994513511657715,0.0
13,1,Sonate13_Opus27_1.mid,"[6, 6, 9]",503,0.030112028121948242,0.0
13,2,Sonate13_Opus27_1.mid,"[7, 7, 10]",2811,0.029796123504638672,0.0
13,3,Sonate13_Opus27_1.mid,"[8, 8, 11]",1716,0.03008890151977539,0.0
13,4,Sonate13_Opus27_1.mid,"[9, 9, 0]",1160,0.030014991760253906,0.0
13,5,Sonate13_Opus27_1.mid,"[10, 10, 1]",2292,0.029905080795288086,0.0
13,6,Sonate13_Opus27_1.mid,"[11, 11, 2]",1132,0.030102014541625977,0.0
13,7,Sonate13_Opus27_1.mid,"[0, 0, 3]",2242,0.031141996383666992,0.0
13,8,Sonate13_Opus27_1.mid,"[1, 1, 4]",589,0.02993297576904297,0.0
13,9,Sonate13_Opus27_1.mid,"[2, 2, 5]",2119,0.0301058292388916,0.0
13,10,Sonate13_Opus27_1.mid,"[3, 3, 6]",1944,0.030042171478271484,0.0
13,11,Sonate13_Opus27_1.mid,"[4, 4, 7]",1260,0.029779911041259766,0.0
14,0,Sonate14_Opus27_2_ClairDeLune.mid,"[1, 11, 9, 6, 8, 8]",39,0.034754037857055664,0.0
14,1,Sonate14_Opus27_2_ClairDeLune.mid,"[2, 0, 10, 7, 9, 9]",1,0.03381514549255371,0.0
14,2,Sonate14_Opus27_2_ClairDeLune.mid,"[3, 1, 11, 8, 10, 10]",15,0.034874916076660156,0.0
14,3,Sonate14_Opus27_2_ClairDeLune.mid,"[4, 2, 0, 9, 11, 11]",1,0.034024953842163086,0.0
14,4,Sonate14_Opus27_2_ClairDeLune.mid,"[5, 3, 1, 10, 0, 0]",15,0.034683942794799805,0.0
14,5,Sonate14_Opus27_2_ClairDeLune.mid,"[6, 4, 2, 11, 1, 1]",17,0.034110069274902344,0.0
14,6,Sonate14_Opus27_2_ClairDeLune.mid,"[7, 5, 3, 0, 2, 2]",0,0.0343480110168457,0.0
14,7,Sonate14_Opus27_2_ClairDeLune.mid,"[8, 6, 4, 1, 3, 3]",31,0.03512310981750488,0.0
14,8,Sonate14_Opus27_2_ClairDeLune.mid,"[9, 7, 5, 2, 4, 4]",2,0.03373098373413086,0.0
14,9,Sonate14_Opus27_2_ClairDeLune.mid,"[10, 8, 6, 3, 5, 5]",2,0.0348970890045166,0.0
14,10,Sonate14_Opus27_2_ClairDeLune.mid,"[11, 9, 7, 4, 6, 6]",3,0.034091949462890625,0.0
14,11,Sonate14_Opus27_2_ClairDeLune.mid,"[0, 10, 8, 5, 7, 7]",9,0.03501296043395996,0.0
15,0,Sonate15_Opus28_Pastorale.mid,"[2, 4, 6, 9, 7, 6, 4, 2]",27,0.0455019474029541,0.0
15,1,Sonate15_Opus28_Pastorale.mid,"[3, 5, 7, 10, 8, 7, 5, 3]",0,0.0431218147277832,0.0
15,2,Sonate15_Opus28_Pastorale.mid,"[4, 6, 8, 11, 9, 8, 6, 4]",26,0.04413604736328125,0.0
15,3,Sonate15_Opus28_Pastorale.mid,"[5, 7, 9, 0, 10, 9, 7, 5]",2,0.04397392272949219,0.0
15,4,Sonate15_Opus28_Pastorale.mid,"[6, 8, 10, 1, 11, 10, 8, 6]",1,0.043913841247558594,0.0
15,5,Sonate15_Opus28_Pastorale.mid,"[7, 9, 11, 2, 0, 11, 9, 7]",0,0.04421591758728027,0.0
15,6,Sonate15_Opus28_Pastorale.mid,"[8, 10, 0, 3, 1, 0, 10, 8]",0,0.04217195510864258,0.0
15,7,Sonate15_Opus28_Pastorale.mid,"[9, 11, 1, 4, 2, 1, 11, 9]",39,0.04409599304199219,0.0
15,8,Sonate15_Opus28_Pastorale.mid,"[10, 0, 2, 5, 3, 2, 0, 10]",0,0.042755126953125,0.0
15,9,Sonate15_Opus28_Pastorale.mid,"[11, 1, 3, 6, 4, 3, 1, 11]",13,0.042630910873413086,0.0
15,10,Sonate15_Opus28_Pastorale.mid,"[0, 2, 4, 7, 5, 4, 2, 0]",0,0.043804168701171875,0.0
15,11,Sonate15_Opus28_Pastorale.mid,"[1, 3, 5, 8, 6, 5, 3, 1]",0,0.042302846908569336,0.0
16,0,Sonate16_Opus31_1.mid,"[7, 6, 4, 2, 3, 4, 11, 2, 0, 11, 9, 7]",21,0.05175304412841797,0.03125
16,1,Sonate16_Opus31_1.mid,"[8, 7, 5, 3, 4, 5, 0, 3, 1, 0, 10, 8]",0,0.0506439208984375,0.0
16,2,Sonate16_Opus31_1.mid,"[9, 8, 6, 4, 5, 6, 1, 4, 2, 1, 11, 9]",0,0.050367116928100586,0.0
16,3,Sonate16_Opus31_1.mid,"[10, 9, 7, 5, 6, 7, 2, 5, 3, 2, 0, 10]",3,0.05090188980102539,0.0
16,4,Sonate16_Opus31_1.mid,"[11, 10, 8, 6, 7, 8, 3, 6, 4, 3, 1, 11]",0,0.050141096115112305,0.0
16,5,Sonate16_Opus31_1.mid,"[0, 11, 9, 7, 8, 9, 4, 7, 5, 4, 2, 0]",1,0.05143904685974121,0.0
16,6,Sonate16_Opus31_1.mid,"[1, 0, 10, 8, 9, 10, 5, 8, 6, 5, 3, 1]",0,0.05029416084289551,0.0
16,7,Sonate16_Opus31_1.mid,"[2, 1, 11, 9, 10, 11, 6, 9, 7, 6, 4, 2]",0,0.05148792266845703,0.0
16,8,Sonate16_Opus31_1.mid,"[3, 2, 0, 10, 11, 0, 7, 10, 8, 7, 5, 3]",0,0.051294803619384766,0.0
16,9,Sonate16_Opus31_1.mid,"[4, 3, 1, 11, 0, 1, 8, 11, 9, 8, 6, 4]",0,0.05041980743408203,0.0
16,10,Sonate16_Opus31_1.mid,"[5, 4, 2, 0, 1, 2, 9, 0, 10, 9, 7, 5]",4,0.051605939865112305,0.0
16,11,Sonate16_Opus31_1.mid,"[6, 5, 3, 1, 2, 3, 10, 1, 11, 10, 8, 6]",0,0.05028581619262695,0.0
17,0,Sonate17_Opus31_2_Tempete.mid,"[9, 1, 4, 9]",1029,0.04028677940368652,0.015625
17,1,Sonate17_Opus31_2_Tempete.mid,"[10, 2, 5, 10]",701,0.04107403755187988,0.0
17,2,Sonate17_Opus31_2_Tempete.mid,"[11, 3, 6, 11]",98,0.039051055908203125,0.0
17,3,Sonate17_Opus31_2_Tempete.mid,"[0, 4, 7, 0]",482,0.03963303565979004,0.0
17,4,Sonate17_Opus31_2_Tempete.mid,"[1, 5, 8, 1]",286,0.03950691223144531,0.0
