sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,997,0.4287393093109131,0.035728275775909424,0.15755208333333334,9333,5,2140
2,304,0.4901304244995117,0.04084420204162598,0.02734375,10780,5,2406
3,333,0.6051983833312988,0.05043319861094157,0.015625,13932,5,3649
4,19,0.6396753787994385,0.05330628156661987,0.0078125,14291,5,3486
5,15,0.3321807384490967,0.02768172820409139,0.0026041666666666665,7244,5,1686
6,5158,0.4269251823425293,0.035577098528544106,0.0013020833333333333,9068,5,2041
7,435,0.4742703437805176,0.039522528648376465,0.005208333333333333,10451,5,2672
8,648,0.4344055652618408,0.03620046377182007,0.005208333333333333,9955,5,2680
9,3328,0.3050248622894287,0.02541873852411906,0.0,6522,5,1495
10,200,0.3623390197753906,0.030194918314615887,0.0,7428,5,1538
11,493,0.58070969581604,0.04839247465133667,0.006510416666666667,12752,5,3143
13,20234,0.36567258834838867,0.030472715695699055,0.0013020833333333333,8461,5,2235
14,135,0.41297292709350586,0.03441441059112549,0.0,8597,5,1908
15,108,0.5281624794006348,0.044013539950052895,0.0,11581,5,3122
16,29,0.6174838542938232,0.051456987857818604,0.0,13439,5,3529
17,5431,0.47687673568725586,0.03973972797393799,0.0,9963,5,2370
18,31199,0.5801010131835938,0.04834175109863281,0.0,12288,5,3421
19,44,0.19788455963134766,0.016490379969278973,0.0,3764,5,1182
20,6,0.18298888206481934,0.015249073505401611,0.0,3632,5,874
21,2205,0.7859761714935303,0.06549801429112752,0.00390625,16595,5,4374
22,20529,0.3625187873840332,0.030209898948669434,0.0,7676,5,2320
23,41516,0.6912558078765869,0.05760465065638224,0.015625,15579,5,3544
24,65,0.29175376892089844,0.024312814076741535,0.0,6049,5,1187
25,780,0.2913494110107422,0.024279117584228516,0.0,5952,5,1480
26,23282,0.41231846809387207,0.034359872341156006,0.0,9495,5,2116
27,914,0.3012521266937256,0.0251043438911438,0.0,6644,5,1585
28,38,0.4611818790435791,0.03843182325363159,0.0,9437,5,2365
30,4668,0.37748098373413086,0.0314567486445109,-0.033854166666666664,8713,5,2257
31,608,0.35117268562316895,0.029264390468597412,0.0013020833333333333,8071,5,1893
