sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,5262,0.45597591400146487,0.0379979928334554,0.14947916666666666,9333,5,2140
2,2710,0.5406734466552734,0.045056120554606116,0.004166666666666667,10780,5,2406
3,5672,0.665163516998291,0.05543029308319092,0.0020833333333333333,13932,5,3649
4,189,0.6849837303161621,0.05708197752634684,0.00026041666666666666,14291,5,3486
5,266,0.3481601238250732,0.029013343652089435,0.0,7244,5,1686
6,25363,0.4404608249664307,0.03670506874720256,0.0013020833333333333,9068,5,2041
7,4979,0.4970090866088867,0.04141742388407389,0.0,10451,5,2672
8,11642,0.47995543479919434,0.0399962862332662,0.0,9955,5,2680
9,11971,0.3159152030944824,0.0263262669245402,0.00026041666666666666,6522,5,1495
10,3202,0.38155422210693357,0.0317961851755778,0.0,7428,5,1538
11,4724,0.6265388488769531,0.05221157073974609,0.0010416666666666667,12752,5,3143
13,41076,0.36756219863891604,0.03063018321990967,0.0,8461,5,2235
14,2892,0.43199357986450193,0.03599946498870849,0.0,8597,5,1908
15,834,0.5576013565063477,0.04646677970886231,0.0,11581,5,3122
16,170,0.6800227165222168,0.05666855971018473,0.0005208333333333333,13439,5,3529
17,16142,0.4872490406036377,0.04060408671696981,0.00026041666666666666,9963,5,2370
18,61337,0.5836290836334228,0.0486357569694519,0.0,12288,5,3421
19,507,0.20306038856506348,0.016921699047088623,0.00026041666666666666,3764,5,1182
20,25,0.18725857734680176,0.015604881445566814,0.0,3632,5,874
21,15877,0.8341775894165039,0.069514799118042,0.0,16595,5,4374
22,36921,0.36710386276245116,0.030591988563537596,0.0,7676,5,2320
23,72081,0.7001230716705322,0.058343589305877686,0.0007812499999999999,15579,5,3544
24,1084,0.31055116653442383,0.025879263877868652,0.0,6049,5,1187
25,4052,0.29990344047546386,0.02499195337295532,0.0,5952,5,1480
26,45761,0.41872215270996094,0.03489351272583008,0.0,9495,5,2116
27,8688,0.3213326930999756,0.026777724424997967,0.0,6644,5,1585
28,674,0.4811983108520508,0.0400998592376709,0.0,9437,5,2365
30,20421,0.3887646198272705,0.032397051652272545,0.00026041666666666666,8713,5,2257
31,4104,0.3771792411804199,0.031431603431701656,-0.0015624999999999999,8071,5,1893
